IUCR,Number_of_Cases
110,4
130,1
141,1
142,27
261,197
262,7
263,105
264,54
265,691
266,408
271,16
272,2
273,14
274,4
275,42
281,3573
291,280
312,1894
313,1803
320,13247
325,1087
326,1731
330,2442
331,269
334,370
337,236
340,1443
420,3575
430,7580
440,702
450,15
451,1
452,30
453,252
454,2401
460,63894
461,89
462,122
470,4363
475,26
479,594
480,6
481,2
482,33
483,271
484,2794
485,244
486,95012
487,12
488,46
489,2
490,1
491,1
492,1
493,2
494,1
495,820
496,2889
497,4387
498,1672
499,1
510,1
520,5829
530,4249
545,2352
550,170
551,9
552,116
553,226
554,1040
555,124
556,13
557,153
558,205
560,49033
580,558
581,12
583,83
584,80
610,30313
620,17257
630,2377
650,1034
810,56072
820,96082
830,2
840,2
841,1
842,1
843,1
850,1618
860,38381
865,154
870,8251
880,2388
890,39343
895,83
910,36576
915,925
917,716
918,35
920,1644
925,20
927,19
928,1
930,2694
935,123
937,23
938,2
1010,12
1020,1183
1025,255
1030,12
1035,2
1050,26
1055,17
1090,232
1110,1560
1120,1828
1121,2905
1122,1839
1130,7484
1135,17
1140,130
1150,15042
1151,117
1152,5610
1153,16762
1154,5878
1155,443
1156,2271
1160,4
1170,77
1185,167
1195,236
1200,253
1205,46
1206,1304
1210,3590
1220,930
1230,2
1235,31
1240,85
1241,13
1242,472
1245,41
1255,5
1260,3
1261,149
1265,12
1305,3622
1310,54617
1320,54982
1330,15330
1335,57
1340,551
1345,2156
1350,2425
1360,3502
1365,5194
1370,20
1375,71
1435,6
1440,1
1450,8
1460,273
1475,1
1476,2
1477,1660
1478,143
1479,106
1480,98
1481,6
1505,93
1506,2857
1507,23
1510,2
1511,1
1512,127
1513,218
1515,5
1520,5
1521,1
1525,11
1526,4
1530,5
1531,1
1535,40
1536,44
1537,25
1540,165
1541,55
1542,1
1544,168
1549,21
1562,692
1563,1596
1564,16
1565,102
1566,18
1570,858
1572,1
1574,1
1576,1
1578,1
1580,11
1582,404
1585,208
1590,30
1610,2
1611,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,2
1627,1
1630,1
1631,1
1632,1
1633,1
1640,1
1650,1
1651,16
1661,715
1670,35
1680,20
1681,1
1682,3
1690,1
1691,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1710,1277
1715,8
1720,58
1725,30
1750,2684
1751,380
1752,676
1753,203
1754,328
1755,139
1775,1
1780,1793
1790,435
1791,16
1792,295
1811,12396
1812,2903
1821,2293
1822,2768
1840,11
1850,19
1860,1
1900,20
2010,9
2011,65
2012,247
2013,99
2014,4106
2015,70
2016,154
2017,1896
2018,141
2019,4
2020,133
2021,676
2022,2212
2023,450
2024,10064
2025,412
2026,793
2027,5597
2028,1206
2029,42
2030,2
2031,237
2032,32
2033,19
2034,63
2040,11
2050,74
2060,2
2070,8
2080,8
2090,304
2091,333
2092,1734
2093,3542
2094,3
2095,277
2110,67
2111,17
2120,1
2160,15
2170,712
2210,229
2220,138
2230,100
2240,4
2250,502
2251,1
2500,1
2820,16305
2825,11397
2826,10417
2830,119
2840,64
2850,603
2851,367
2860,286
2870,158
2890,405
2895,8
2900,172
3000,5
3100,65
3200,1
3300,50
3400,4
3610,6
3710,1256
3720,2
3730,247
3731,2803
3740,4
3750,44
3751,2
3760,110
3770,2
3800,62
3910,11
3920,7
3960,364
3966,7
3970,221
3975,3
3980,2
4210,76
4220,44
4230,142
4240,12
4255,233
4310,44
4386,308
4387,6571
4388,98
4389,50
4410,1
4420,1
4510,118
4625,2523
4650,974
4651,654
4652,36
4740,4
4750,2
4800,7
4810,1
4860,37
5000,1622
5001,1086
5002,5364
5003,25
5004,117
5005,1
5007,666
5008,1
5009,11
5011,1894
5013,6
5110,596
5111,1017
5112,228
5120,4
5121,14
5122,5
5130,93
5131,158
5132,46
lables,1
031A,15953
031B,193
033A,1464
033B,48
041A,7502
041B,67
051A,10945
051B,389
141A,1619
141B,269
141C,607
142A,21
142B,7
143A,12745
143B,393
143C,360
500E,24
500N,34
501A,546
501H,13
502P,3247
502R,2371
502T,83
