Catogory,Number_of_Cases
HOMICIDE,33
CRIMINAL SEXUAL ASSAULT,5393
ROBBERY,42180
BATTERY,195041
PUBLIC PEACE VIOLATION,6379
RITUALISM,7
ASSAULT,74853
STALKING,733
BURGLARY,50981
THEFT,242379
MOTOR VEHICLE THEFT,42778
ARSON,1696
HUMAN TRAFFICKING,43
DECEPTIVE PRACTICE,69294
CRIMINAL DAMAGE,116031
CRIMINAL TRESPASS,26508
WEAPONS VIOLATION,18144
CONCEALED CARRY LICENSE VIOLATION,347
NON-CRIMINAL,6
PROSTITUTION,3374
OBSCENITY,261
PUBLIC INDECENCY,44
OFFENSE INVOLVING CHILDREN,8457
SEX OFFENSE,3821
GAMBLING,813
OTHER OFFENSE,68830
KIDNAPPING,802
NARCOTICS,56228
OTHER NARCOTIC VIOLATION,20
LIQUOR LAW VIOLATION,974
CRIMINAL ABORTION,1
INTERFERENCE WITH PUBLIC OFFICER,4550
INTIMIDATION,597
PRIMARY,1
